Categoria;Bairro;Dormitórios;Vagas;Suítes;Tamanho;Preço;Condomínio;IPTU
Sala Comercial;Sé;0;0;0;89;1920;2040;198
Sala Comercial;Higienópolis;0;0;0;30;1200;516;0
Ponto Comercial;Jardins;0;0;0;40;4200;3816;3348
Flat Residencial;Interlagos;2;1;1;83;2400;840;0
Kitnet;Higienópolis;0;0;0;31;2220;600;0
Residência;Grajaú;3;2;2;139;2040;;0
Kitnet;Sé;0;0;0;38;960;3324;1236
Flat Residencial;Vila Mariana;2;0;0;75;4080;780;0
Flat Residencial;Interlagos;4;3;0;213;3600;960;528
Sala Comercial;Morumbi;0;2;0;135;15600;40956;98544
Sala Comercial;Sé;0;0;0;325;33600;4800;0
Flat Residencial;Higienópolis;2;1;0;72;2880;1314;0
Flat Residencial;Tucuruvi;1;1;0;53;900;300;0
Apart-Hotel;Jardim Europa;1;1;1;64;4800;1680;216
Flat Residencial;Brás;2;1;1;61;1800;696;0
Kitnet;Sé;0;0;0;37;720;6096;24
Flat Residencial;Jardins;4;2;1;196;10440;4440;180
Flat Residencial;Butantã;2;1;0;68;1560;654;0
Flat Residencial;Interlagos;3;3;1;145;3360;912;4200
Estabelecimento Comercial;Morumbi;0;1;0;95;6600;2280;5874
Flat Residencial;São Miguel Paulista;3;1;1;65;1740;4464;0
Sala Comercial;Sé;0;0;0;375;13320;110928;27492
Flat Residencial;Paraíso;3;1;1;113;4800;1200;2628
Apart-Hotel;Jardins;1;1;0;65;4200;1800;2928
Flat Residencial;Jardins;3;1;1;135;7200;3840;336
Flat Residencial;Vila Madalena;4;3;2;245;10800;57732;13872
Kitnet;Sé;0;0;0;35;1320;504;30
Estabelecimento Comercial;Vila Mariana;0;0;0;590;72000;96;0
Sala Comercial;Sé;0;0;0;26;1200;4068;996
Flat Residencial;Higienópolis;2;0;1;119;2880;1692;168
Flat Residencial;Jardim Paulista;2;1;1;81;3960;13476;2748
Residência em Condomínio;Morumbi;4;8;1;405;8400;960;936
Hospedaria;Morumbi;23;0;23;867;1776;354;0
Flat Residencial;Higienópolis;3;1;1;97;3000;1320;18144
Sala Comercial;Interlagos;0;0;1;35;1560;720;0
Flat Residencial;Jardins;3;1;1;145;5400;1440;300
Kitnet;Jardim Europa;1;0;0;35;2160;558;744
Apart-Hotel;Morumbi;1;1;1;57;1440;2424;7044
Imóvel Comercial;Vila Mariana;0;0;0;395;14400;;3492
Flat Residencial;Morumbi;4;2;2;250;8280;4080;696
Flat Residencial;Interlagos;2;1;1;75;2400;600;0
Flat Residencial;Interlagos;3;2;1;110;2160;780;0
Flat Residencial;Morumbi;2;1;1;91;3480;1296;192
Flat Residencial;Grajaú;3;1;0;61;1080;936;0
Flat Residencial;Paraíso;2;0;0;65;2280;13068;1416
Flat Residencial;Higienópolis;1;0;0;40;2640;3804;0
Flat Residencial;Interlagos;2;1;1;104;2760;960;22956
Flat Residencial;Grajaú;2;0;0;85;1320;;0
Flat Residencial;Jardim Europa;2;0;0;65;3000;780;1188
Sala Comercial;Sé;0;0;0;66;1800;13044;300
Flat Residencial;Higienópolis;1;0;0;40;2400;672;804
Imóvel Comercial;Vila Mariana;11;4;3;405;9600;;2628
Sala Comercial;Alto da Lapa;0;1;0;710;9600;;103536
Kitnet;Higienópolis;1;0;0;35;1920;480;0
Flat Residencial;Vila Mariana;1;1;0;50;1800;13176;2304
Estabelecimento Comercial;Sé;0;0;0;285;9600;;0
Sala Comercial;Morumbi;0;3;0;82;3360;2340;0
Estabelecimento Comercial;Vila Guilherme;0;0;0;60;1080;;1344
Flat Residencial;Jardim Europa;2;2;1;155;12000;2724;4896
Flat Residencial;Higienópolis;1;0;0;52;2280;1680;222
Kitnet;Higienópolis;1;0;0;37;2760;;0
Sala Comercial;Sé;0;0;0;297;5400;8400;2040
Apart-Hotel;Jardins;2;1;1;105;15600;4920;5844
Flat Residencial;Jardim Europa;1;1;0;58;4560;1824;0
Flat Residencial;Butantã;3;2;1;95;2280;1290;1188
Flat Residencial;Jardim Europa;2;1;0;65;4680;14652;2436
Kitnet;Perdizes;1;0;0;33;1440;360;24
Sala Comercial;Interlagos;0;0;0;29;1560;480;0
Flat Residencial;Jardins;2;1;1;91;14400;;0
Sala Comercial;Morumbi;0;1;0;27;900;720;0
Flat Residencial;Higienópolis;3;1;1;135;4800;1800;4176
Residência em Condomínio;Morumbi;5;3;3;1755;18000;3480;21576
Sala Comercial;Sé;0;0;0;38;1320;420;102
Residência;Parelheiros;2;1;1;83;1800;;0
Imóvel Comercial;Brás;0;0;0;113;3600;;0
Flat Residencial;Jardim Anália Franco;2;1;0;75;2040;540;36
Flat Residencial;Interlagos;1;1;1;60;2160;6408;102
Sala Comercial;Morumbi;0;2;0;95;5400;;0
Residência;Morumbi;5;0;5;805;36000;27996;34788
Flat Residencial;Morumbi;2;1;0;63;2040;144;840
Flat Residencial;Higienópolis;3;0;0;110;4560;14112;204
Flat Residencial;Alto de Pinheiros;2;0;0;80;3360;11016;0
Sala Comercial;Morumbi;0;2;0;90;2640;26856;7272
Estabelecimento Comercial;Morumbi;0;0;0;37;1200;21036;80472
Flat Residencial;Higienópolis;1;0;0;34;1740;960;0
Flat Residencial;Jardins;3;0;0;95;3000;1572;2676
Flat Residencial;Paraíso;3;1;1;216;5640;2220;5748
Flat Residencial;Perdizes;1;0;1;53;1440;744;564
Flat Residencial;Paraíso;2;0;0;75;1800;12324;0
Flat Residencial;Higienópolis;1;0;0;60;2520;7536;648
Estabelecimento Comercial;Brás;0;10;0;1205;21600;;2640
Estabelecimento Comercial;Jardins;0;0;0;51;5400;20868;9396
Flat Residencial;Morumbi;2;1;1;64;2040;780;624
Flat Residencial;Higienópolis;4;2;2;394;14160;49596;138432
Apart-Hotel;Higienópolis;1;1;0;65;1920;1800;204
Flat Residencial;Jardim Europa;2;2;1;93;5400;2280;468
Flat Residencial;Perdizes;2;0;0;84;1440;11004;1092
Flat Residencial;Higienópolis;2;0;0;65;3000;624;0
Flat Residencial;Vila Mariana;1;1;0;105;3000;1122;186
Estabelecimento Comercial;Interlagos;0;1;0;80;3360;900;0
Sala Comercial;Morumbi;0;5;0;103;12000;3720;86268
Flat Residencial;Água Rasa;2;0;0;69;1920;324;564
Flat Residencial;Paraíso;3;0;1;112;3360;1320;180
Flat Residencial;Butantã;3;1;1;55;1680;480;204
Flat Residencial;Higienópolis;2;1;0;78;3480;1380;0
Flat Residencial;Jardim Europa;2;2;1;118;4200;17484;5484
Estabelecimento Comercial;Jardins;0;0;0;23;1800;888;126
Flat Residencial;Morumbi;4;3;1;185;9000;2880;840
Flat Residencial;Santana;2;1;0;70;1320;918;0
Flat Residencial;Butantã;2;1;0;63;900;570;204
Residência;Vila Matilde;3;0;3;185;5400;;0
Sala Comercial;Santana;0;1;0;41;1200;936;0
Residência em Condomínio;Perdizes;3;2;0;93;2520;516;384
Flat Residencial;Grajaú;3;1;0;70;1080;156;0
Flat Residencial;Vila Mariana;3;2;1;120;8160;1716;4608
Armazém Industrial;Jaçanã;0;4;0;405;7800;;31944
Flat Residencial;Interlagos;2;1;1;77;1560;924;1644
Flat Residencial;Interlagos;2;1;1;70;2040;8796;1644
Flat Residencial;Morumbi;3;2;1;150;5400;11832;5676
Flat Residencial;Vila Monumento;2;0;0;80;1440;552;0
Sala Comercial;Morumbi;0;1;0;58;3600;1248;5088
Flat Residencial;Jardim Europa;3;1;1;185;10800;18648;672
Flat Residencial;Jardim Europa;1;0;0;35;2520;744;948
Flat Residencial;Pirituba;3;0;0;80;1140;1044;168
Flat Residencial;Morumbi;4;3;2;335;9000;2040;0
Flat Residencial;Vila Mariana;1;1;0;59;1680;8916;792
Sala Comercial;Sé;0;0;0;38;720;7296;138
Flat Residencial;Jaçanã;2;1;0;70;1440;7416;0
Sala Comercial;Sé;0;0;0;70;2160;2400;294
Apart-Hotel;Jardins;2;2;2;99;15600;4200;0
Flat Residencial;Jardins;3;0;0;95;3360;1680;216
Flat Residencial;Morumbi;2;1;1;89;3000;2502;318
Flat Residencial;Jardim Santa Terezinha;1;0;0;40;660;;0
Sala Comercial;Barra Funda;0;7;0;1106;92484;293976;26556
Flat Residencial;Higienópolis;3;1;0;95;3600;13224;3012
Flat Residencial;Santana;2;1;0;65;1440;840;36
Estabelecimento Comercial;Grajaú;0;0;0;45;2400;1080;0
Sala Comercial;Morumbi;0;4;0;155;9120;70332;131664
Flat Residencial;Jardim Europa;2;1;0;67;2640;1272;1584
Sala Comercial;Luz;0;5;0;1388;746988;;0
Flat Residencial;Ilha do Bororé;2;1;0;65;1200;4752;252
Flat Residencial;Higienópolis;2;0;0;60;2760;14784;0
Flat Residencial;Jardim Europa;3;2;1;175;9600;3348;768
Flat Residencial;Vila Mariana;2;1;0;92;3600;936;0
Flat Residencial;Jardim Ângela;3;1;0;58;1440;408;0
Flat Residencial;Vila Matilde;2;0;0;60;1860;108;0
Flat Residencial;Perdizes;1;0;0;57;1800;660;588
Flat Residencial;Vila Ema;2;1;0;85;1440;360;0
Lote Urbano;Vila Matilde;0;0;0;9085;26400;;204216
Flat Residencial;Perdizes;3;0;1;131;3120;10152;2688
Flat Residencial;Vila Madalena;3;1;1;165;6000;29796;0
Estúdio Amplo;Morumbi;2;2;0;315;7200;900;600
Sala Comercial;Higienópolis;0;0;0;30;1800;654;1932
Armazém Industrial;Vila Santa Catarina;0;0;0;405;30000;;0
Flat Residencial;Morumbi;3;2;1;110;3360;1956;3144
Sala Comercial;Jardins;0;1;0;61;6000;2220;6912
Flat Residencial;Paraíso;2;1;0;70;32388;792;1176
Flat Residencial;Alto de Pinheiros;4;1;0;325;11400;2400;696
Flat Residencial;Vila Formosa;2;0;0;45;1020;;0
Flat Residencial;Morumbi;4;2;2;285;9600;3588;672
Armazém Industrial;Jardim São Luís;0;0;0;995;24000;;43704
Residência;Pirituba;1;0;0;44;720;;192
Flat Residencial;Grajaú;2;1;0;65;1080;720;0
Sala Comercial;Morumbi;0;36;0;1205;101400;52800;0
Flat Residencial;Jardins;2;1;1;248;14400;2760;0
Flat Residencial;Butantã;2;0;0;65;1440;720;60
Flat Residencial;Morumbi;3;4;3;371;16800;43176;12156
Flat Residencial;Alto de Pinheiros;2;0;0;92;3120;858;1836
Flat Residencial;Vila Maria Alta;2;2;0;86;1020;420;588
Apart-Hotel;Vila Mariana;1;1;0;55;2880;930;180
Sala Comercial;Morumbi;0;1;0;35;1200;11784;0
Sala Comercial;Vila Santa Catarina;0;1;0;23;432;900;66
Flat Residencial;Moema;3;1;1;185;202644;3000;7356
Flat Residencial;Morumbi;2;1;1;73;1800;1680;0
Flat Residencial;Jardim Europa;4;3;1;205;18000;1536;81576
Sala Comercial;Sé;0;0;0;320;18900;67356;18732
Flat Residencial;Jardins;2;1;1;100;11400;4440;648
Flat Residencial;Barra Funda;1;0;0;59;1200;540;24
Flat Residencial;Vila Ema;3;1;1;151;2640;756;2004
Residência em Condomínio;Morumbi;4;3;1;405;10200;1056;936
Sala Comercial;Morumbi;0;1;0;35;1440;420;0
Estabelecimento Comercial;Higienópolis;0;0;0;19;1320;840;0
Flat Residencial;Morumbi;3;2;1;111;3840;2118;0
Flat Residencial;Jardim Guedala;3;1;1;147;7200;1152;4200
Sala Comercial;Jardins;2;0;0;50;3948;2640;294
Flat Residencial;Morumbi;4;3;3;165;10140;2760;480
Flat Residencial;Interlagos;3;3;2;185;4680;1260;600
Residência em Condomínio;Interlagos;4;2;4;255;9600;2160;4320
Flat Residencial;Barra Funda;1;0;0;51;19164;720;78
Flat Residencial;Jardins;2;1;1;105;9000;2994;0
Sala Comercial;Sé;0;0;0;205;3600;2544;4284
Flat Residencial;Morumbi;3;2;1;170;6000;1440;600
Sala Comercial;Freguesia do Ó;0;1;0;30;600;564;0
Residência;Grajaú;2;1;0;95;1800;;0
Estúdio Amplo;Morumbi;1;2;1;105;2640;17292;4176
Flat Residencial;Jardim Peri;2;1;1;63;1320;588;84
Flat Residencial;Interlagos;3;2;1;85;2760;420;0
Kitnet;Vila Mariana;1;0;0;36;2520;4092;636
Estabelecimento Comercial;Pari;0;0;0;117;1800;2130;0
Flat Residencial;Morumbi;2;1;0;63;1920;8736;120
Flat Residencial;Vila Madalena;3;1;3;175;12000;1440;540
Flat Residencial;Itaquera;2;1;0;45;900;120;0
Sala Comercial;Sé;0;0;0;200;4800;54912;14652
Residência em Condomínio;Morumbi;4;2;1;355;9000;11484;0
Sala Comercial;Sé;0;0;0;155;5400;2400;840
Imóvel Comercial;Grajaú;0;0;0;305;14400;;0
Flat Residencial;Jardim Europa;4;2;2;165;14400;3480;708
Flat Residencial;Jardim Europa;2;2;2;85;7200;2160;0
Flat Residencial;Morumbi;3;2;1;132;4560;1884;3624
Residência em Condomínio;Parelheiros;1;1;0;40;960;300;0
Flat Residencial;Morumbi;3;3;3;273;9600;3960;8268
Flat Residencial;Interlagos;3;2;1;114;2880;564;0
Estabelecimento Comercial;Sé;0;0;0;191;7200;;0
Sala Comercial;Vila Mariana;0;15;0;655;66300;186024;62244
Flat Residencial;Morumbi;2;1;0;97;5520;960;240
Flat Residencial;Interlagos;2;1;1;70;2400;816;120
Sala Comercial;Perdizes;2;0;0;47;1560;720;2076
Flat Residencial;Água Rasa;2;0;0;81;1440;300;0
Residência;Vila Mariana;3;0;0;105;3600;;2628
Flat Residencial;Higienópolis;4;1;1;265;15600;1200;300
Sala Comercial;Interlagos;0;1;0;30;960;480;0
Residência;Morumbi;4;3;1;355;9000;1164;762
Flat Residencial;Higienópolis;3;2;1;205;7200;1320;240
Apart-Hotel;Jardim Europa;2;1;1;115;7200;47736;3684
Sala Comercial;Vila Ema;0;0;0;41;696;300;90
Flat Residencial;Vila Mariana;2;0;0;96;3360;420;0
Flat Residencial;Morumbi;3;3;1;241;10800;53868;12612
Flat Residencial;Morumbi;2;2;1;90;3000;13944;2316
Flat Residencial;Grajaú;2;1;0;70;960;396;0
Flat Residencial;Jardim Guedala;3;1;1;118;5760;2100;216
Flat Residencial;Interlagos;2;1;1;55;1920;9396;1272
Sala Comercial;Sé;0;0;0;47;2400;13308;0
Flat Residencial;Jardins;2;3;1;105;6960;4680;540
Flat Residencial;Interlagos;3;2;2;306;4800;840;0
Flat Residencial;Morumbi;1;2;1;129;3600;11784;3792
Flat Residencial;Vila Mariana;3;1;0;106;3840;11892;1788
Flat Residencial;Morumbi;2;1;1;81;2280;1680;0
Flat Residencial;Jardins;2;1;1;75;6000;3180;0
Sala Comercial;Morumbi;0;1;0;55;2040;1404;0
Flat Residencial;São Miguel Paulista;2;1;0;65;1560;240;0
Flat Residencial;Interlagos;2;1;1;77;2280;780;120
Flat Residencial;Morumbi;4;2;1;240;5040;30468;0
Residência;Grajaú;2;0;0;75;1080;;36
Flat Residencial;Alto de Pinheiros;1;0;0;65;2640;720;912
Sala Comercial;Vila Mariana;0;15;0;655;66300;27300;76128
Flat Residencial;Vila Matilde;2;1;0;85;1320;456;0
Flat Residencial;Higienópolis;3;1;1;164;4560;1860;3600
Edifício Completo;Jardim Europa;0;0;0;657;60000;;7800
Flat Residencial;Sé;1;1;0;56;1800;486;48
Flat Residencial;Butantã;2;0;2;70;1320;36;0
Flat Residencial;Perdizes;2;0;0;85;2280;840;0
Sala Comercial;Higienópolis;0;0;0;36;840;6276;120
Flat Residencial;Higienópolis;3;1;2;161;8400;1260;3336
Flat Residencial;Cambuci;3;0;0;100;2640;12516;1152
Flat Residencial;Perdizes;3;2;0;109;3000;14856;1968
Flat Residencial;Morumbi;2;1;1;75;1920;1080;0
Flat Residencial;Jardins;3;2;3;235;28800;2880;1140
Flat Residencial;Perdizes;2;1;0;73;1620;804;888
Flat Residencial;Interlagos;2;1;1;80;2100;948;132
Flat Residencial;Jardins;3;0;1;115;6600;1440;4680
Flat Residencial;Higienópolis;1;0;1;35;1560;756;0
Flat Residencial;Perdizes;2;1;1;81;3000;1116;1104
Flat Residencial;Interlagos;3;3;3;185;3360;1356;5928
Sala Comercial;Sé;0;0;0;40;720;5856;1008
Flat Residencial;Morumbi;3;2;0;155;6600;3240;360
Flat Residencial;Vila Sônia;2;0;0;63;1200;4392;0
Flat Residencial;Jardim Europa;3;0;0;125;4320;1140;2484
Flat Residencial;Morumbi;4;3;3;165;10320;2760;300
Flat Residencial;Interlagos;2;1;1;83;2760;;0
Flat Residencial;São Miguel Paulista;2;0;0;95;1440;324;0
Flat Residencial;Paraíso;3;1;0;128;3360;11304;2076
Residência;Alto da Lapa;5;0;5;245;6000;;0
Flat Residencial;Morumbi;4;2;4;235;9600;3360;516
Flat Residencial;Interlagos;2;1;1;69;1800;696;0
Sala Comercial;Sé;0;0;0;495;10680;9432;18252
Flat Residencial;Higienópolis;2;0;0;77;3600;1194;126
Armazém Industrial;Vila Matilde;0;0;0;1005;10680;;600
Flat Residencial;Jardim Vila Formosa;2;1;1;90;1560;600;0
Flat Residencial;Morumbi;4;2;1;195;8400;2640;792
Flat Residencial;Vila Matilde;2;1;0;53;1200;300;0
Flat Residencial;Vila Mariana;2;1;0;65;1920;9048;276
Sala Comercial;Barra Funda;0;0;0;75;3588;;2352
Flat Residencial;Higienópolis;4;2;1;265;12000;19368;624
Flat Residencial;Vila Gustavo;1;0;0;56;960;246;0
Flat Residencial;Jardim Paulista;3;1;0;125;3960;1416;0
Flat Residencial;Jardins;2;1;0;50;3600;600;36
Flat Residencial;Alto de Pinheiros;2;0;0;80;3240;10536;0
Sala Comercial;Jaguaré;0;1;0;33;540;8064;624
Sala Comercial;Morumbi;0;10;0;361;24000;163596;22668
Sala Comercial;Sé;0;0;0;27;1440;702;0
Sala Comercial;Morumbi;0;4;0;131;69492;3066;10476
Estabelecimento Comercial;Jardim Europa;0;3;0;145;31200;6600;0
Apart-Hotel;Jardins;1;1;1;51;4800;;0
Flat Residencial;Mooca;2;2;0;79;1320;900;156
Flat Residencial;Perdizes;3;1;0;75;2040;948;1356
Flat Residencial;Vila Madalena;3;1;0;99;4800;1200;3024
Flat Residencial;Vila Mariana;1;0;0;46;1440;540;0
Flat Residencial;Interlagos;2;1;1;65;2040;588;0
Kitnet;Sé;0;0;0;31;1140;378;252
Flat Residencial;Jardins;2;2;2;90;8400;2460;3696
Sala Comercial;Vila Matilde;0;1;0;30;720;6276;24
Sala Comercial;Sé;0;0;0;325;18000;5280;0
Flat Residencial;Jardins;3;1;2;247;119988;;11910
Flat Residencial;Higienópolis;4;2;4;425;30000;2400;1440
Sala Comercial;Sé;0;0;0;25;105228;;0
Flat Residencial;São Miguel Paulista;1;1;1;138;1680;;0
Sala Comercial;Vila Mariana;0;4;0;202;26400;87672;15996
Armazém Industrial;Butantã;0;0;0;145;5880;1440;0
Ponto Comercial;Jardim Guedala;0;0;0;60;15600;14436;63444
Kitnet;Higienópolis;1;0;0;40;3000;600;48
Sala Comercial;São Miguel Paulista;1;0;0;30;600;;0
Imóvel Comercial;Vila Mariana;0;2;0;505;14400;;30516
Flat Residencial;Interlagos;3;1;1;85;3000;996;120
Flat Residencial;Morumbi;3;2;1;217;6600;1440;8184
Sala Comercial;Morumbi;0;1;0;32;1200;456;2004
Flat Residencial;Paraíso;3;1;2;125;6000;10572;1932
Edifício Completo;Sé;0;0;0;362;13800;;0
Sala Comercial;Sé;0;0;0;39;600;7536;1152
Sala Comercial;Sé;0;0;0;199;7200;60276;5268
Sala Comercial;Luz;0;0;0;115;3960;1320;0
Flat Residencial;Higienópolis;1;0;0;50;2280;804;36
Sala Comercial;Sé;0;6;0;1964;176310;399636;81096
Flat Residencial;Barra Funda;3;1;2;114;3600;1320;228
Sala Comercial;Perdizes;0;1;0;35;900;600;1008
Flat Residencial;Higienópolis;1;0;0;45;1800;408;852
Flat Residencial;Perdizes;1;0;0;56;1440;804;0
Flat Residencial;Interlagos;3;2;1;125;2280;804;378
Kitnet;Vila Mariana;1;0;0;29;1320;624;0
Flat Residencial;Morumbi;4;3;2;335;14400;5640;20496
Sala Comercial;Morumbi;0;6;0;313;20400;7440;1560
Flat Residencial;Interlagos;4;2;3;166;6000;1080;0
Sala Comercial;Morumbi;0;1;0;47;3600;840;2130
Flat Residencial;Vila Mariana;3;2;3;169;15000;2040;360
Flat Residencial;Morumbi;3;2;1;145;5400;1920;4296
Flat Residencial;Jardins;3;2;1;185;10200;20592;984
Flat Residencial;Barra Funda;1;1;0;64;1800;492;0
Sala Comercial;Morumbi;0;4;0;105;5880;3540;672
Apart-Hotel;Higienópolis;1;1;0;65;1068;2160;180
Flat Residencial;Butantã;3;1;1;100;1920;1008;2712
Flat Residencial;Vila Maria;1;1;0;65;960;552;300
Flat Residencial;Vila Formosa;3;1;0;90;1800;;0
Flat Residencial;Higienópolis;2;1;0;95;4080;;0
Flat Residencial;Sé;2;0;0;62;1560;4524;396
Sala Comercial;Morumbi;0;24;0;775;60000;34800;0
Estabelecimento Comercial;Butantã;0;1;0;64;4800;1116;2988
Sobrado Pequeno;Vila Ré;0;0;0;25;720;;0
Sala Comercial;Butantã;0;1;0;28;720;516;0
Sala Comercial;Interlagos;0;1;0;28;1200;690;0
Sala Comercial;Jardins;0;0;0;105;20400;;0
Sala Comercial;Sé;0;0;0;155;10800;65424;1458
Flat Residencial;Higienópolis;3;1;0;135;3720;1560;0
Estabelecimento Comercial;Sé;0;0;0;231;14400;;8004
Flat Residencial;Jardim Europa;1;0;0;70;4320;720;144
Sala Comercial;Jardins;0;1;0;120;12000;3882;7488
Sala Comercial;Morumbi;0;2;0;80;3720;2016;216
Flat Residencial;Vila Santa Catarina;2;1;1;89;1140;384;0
Flat Residencial;Morumbi;3;3;1;235;19800;;0
Estabelecimento Comercial;Morumbi;0;1;0;115;3360;2016;1320
Flat Residencial;Higienópolis;3;1;1;205;14400;;0
Estabelecimento Comercial;Morumbi;0;1;0;85;6000;1200;0
Sala Comercial;Sé;0;0;0;217;9600;4200;1440
Flat Residencial;Perdizes;2;1;0;93;1440;768;0
Apart-Hotel;Morumbi;1;2;1;115;4200;2040;240
Sala Comercial;Vila Mariana;0;4;0;247;18000;11394;20532
Flat Residencial;Jardins;2;1;0;75;4800;7368;180
Flat Residencial;Interlagos;2;2;1;95;2400;984;2664
Flat Residencial;Butantã;2;1;0;60;1380;756;12
Flat Residencial;Higienópolis;4;1;4;245;8400;2760;600
Flat Residencial;Interlagos;3;1;1;92;3600;720;228
Flat Residencial;Higienópolis;3;0;0;115;3600;1200;24
Sala Comercial;Sé;0;0;0;55;948;360;996
Flat Residencial;Jaguaré;2;1;1;75;2880;1140;1536
Estabelecimento Comercial;Butantã;0;1;0;134;9840;;0
Flat Residencial;Vila Mariana;3;1;0;98;3840;900;1464
Flat Residencial;Vila Nova Cachoeirinha;1;1;0;52;1440;348;588
Sala Comercial;Bela Vista;0;0;0;40;840;348;60
Flat Residencial;Higienópolis;1;0;0;39;1680;564;66
Flat Residencial;Perdizes;3;1;0;100;2760;852;0
Armazém Industrial;São Miguel Paulista;0;0;0;725;4200;;0
Sala Comercial;Sé;0;0;0;83;1800;780;288
Sala Comercial;Morumbi;0;1;0;41;1560;8772;300
Kitnet;Higienópolis;1;1;0;47;2220;600;84
Flat Residencial;Paraíso;3;1;1;210;8400;1860;0
Flat Residencial;Butantã;2;1;0;71;1560;540;612
Sala Comercial;República;0;0;0;85;4200;972;300
Estabelecimento Comercial;Grajaú;0;2;0;138;3000;;2064
Residência;Jardim Peri;3;4;1;321;2340;;2244
Sala Comercial;Morumbi;0;3;0;105;13200;24612;5472
Estabelecimento Comercial;Morumbi;0;1;0;36;2520;840;0
Estabelecimento Comercial;Vila Mariana;0;0;0;1955;300000;;0
Flat Residencial;Bela Vista;2;0;0;73;1200;696;18
Estabelecimento Comercial;Jardins;0;0;0;35;1800;816;2088
Flat Residencial;Morumbi;5;3;5;555;18000;14232;43596
Flat Residencial;Interlagos;3;2;1;285;3600;828;1140
Flat Residencial;Higienópolis;1;0;0;35;1680;516;36
Sala Comercial;Sé;0;0;0;155;12000;1560;690
Flat Residencial;Vila Mariana;3;1;1;115;6000;11892;2616
Flat Residencial;Morumbi;2;1;1;75;6000;3240;3096
Flat Residencial;Vila Mariana;2;1;0;75;3000;;0
Flat Residencial;Higienópolis;3;1;0;125;7200;876;0
Flat Residencial;Morumbi;2;1;2;79;2760;1620;0
Sala Comercial;Vila Mariana;0;14;0;653;87600;301992;0
Flat Residencial;Vila Maria;2;1;1;150;2640;6972;264
Flat Residencial;Brasilândia;1;0;0;40;780;;0
Kitnet;Sé;0;0;0;25;1140;288;24
Flat Residencial;Sé;1;0;1;45;1140;420;288
Flat Residencial;Butantã;2;1;0;73;1440;6984;744
Sala Comercial;Sé;0;0;0;437;14400;93696;2820
Flat Residencial;Jardins;4;3;2;205;14400;2340;7536
Imóvel Comercial;Vila Mariana;0;2;0;266;21600;;19308
Sala Comercial;Perdizes;0;1;0;59;3000;954;72
Flat Residencial;Interlagos;3;2;1;118;3000;672;2916
Imóvel Comercial;Sé;0;0;0;335;7080;;5334
Flat Residencial;Morumbi;4;2;1;125;3600;1920;2892
Residência em Condomínio;Vila Mariana;3;0;2;155;6480;480;240
Flat Residencial;Barra Funda;2;0;0;65;2880;840;0
Flat Residencial;Vila Santa Catarina;2;1;0;55;1440;480;0
Sala Comercial;Sé;0;0;0;159;34932;1518;7956
Flat Residencial;Morumbi;2;1;0;56;1548;600;156
Flat Residencial;Morumbi;4;3;4;270;14400;6600;960
Flat Residencial;Morumbi;3;3;3;205;7200;2880;864
Flat Residencial;Morumbi;3;3;3;208;6600;3360;840
Residência em Condomínio;Interlagos;5;2;5;295;4800;1320;0
Sala Comercial;Vila Mariana;0;1;0;9;2640;12312;720
Flat Residencial;Sé;2;0;0;73;2040;3396;144
Imóvel Comercial;Grajaú;0;0;0;225;54000;;0
Flat Residencial;Vila Mariana;1;1;0;45;2400;432;30
Sala Comercial;Sé;0;0;0;129;4200;19128;6528
Flat Residencial;Jardim Europa;3;1;0;95;2400;11376;1812
Flat Residencial;Morumbi;2;1;1;95;3840;17352;2832
Edifício Completo;Sé;0;0;0;655;36000;;0
Residência em Condomínio;Interlagos;3;2;3;173;5400;;0
Sala Comercial;Sé;0;0;0;261;4800;49644;1212
Flat Residencial;Higienópolis (SP);2;0;0;65;1020;276;0
Residência;Capão Redondo;3;3;1;365;2994;;0
Flat Residencial;Moema;3;3;2;375;36000;12000;0
Residência em Condomínio;Capão Redondo;2;1;0;75;1080;;0
Imóvel Comercial;Barra Funda;0;4;0;805;16800;;1494
Flat Residencial;Vila Ema;2;1;0;95;1200;414;0
Flat Residencial;Higienópolis;4;1;0;185;7800;1560;360
Residência;Morumbi;5;2;3;585;5400;1008;0
Flat Residencial;Higienópolis;4;2;2;505;36000;3840;11352
Flat Residencial;Higienópolis;5;3;2;355;9000;3252;0
Residência;Jardim Paulista;3;0;2;413;34800;1020;7200
Flat Residencial;Vila Mariana;1;1;0;67;3120;780;120
Flat Residencial;Morumbi;2;1;1;80;1920;10332;0
Flat Residencial;Perdizes;2;0;0;65;1740;612;0
Sala Comercial;Sé;0;0;0;653;45600;20400;41448
Flat Residencial;Vila Madalena;2;0;1;70;3000;1020;156
Estabelecimento Comercial;Jaguaré;0;0;0;90;7800;;4776
Flat Residencial;Perdizes;3;0;0;105;2640;720;0
Sala Comercial;Vila Mariana;0;20;0;721;644544;26976;36696
Flat Residencial;Interlagos;2;1;1;80;2400;960;156
Flat Residencial;Higienópolis;2;1;0;155;3600;1440;4716
Flat Residencial;Mandaqui;2;0;0;55;1440;4932;84
Residência em Condomínio;Morumbi;8;7;5;1005;21600;2580;3000
Flat Residencial;Jardins;2;0;2;115;14760;1800;240
Sala Comercial;Morumbi;0;2;0;47;1800;1560;1800
Flat Residencial;Morumbi;3;1;1;81;2040;960;0
Flat Residencial;Morumbi;2;1;1;101;3600;1800;1800
